entity_id,friendly_name,platform,manufacturer,model,area,is_group,has_area,disabled,notes
light.1st_floor_ap_led,LED,unifi,Ubiquiti Networks,UAL6,Kitchen Lounge,,YES,,UniFi LED - probably disable
light.1st_floor_bathroom,,hue,Signify Netherlands B.V.,Room,1st Floor Bathroom,HUE_GROUP,YES,,Hue group - use individual bulbs
light.1st_floor_bathroom_ceiling_1of2,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.1st_floor_bathroom_ceiling_2of2,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.1st_floor_bathroom_ceiling_lights_dimmer_switch_inovelli_vzm31_sn,,zha,Inovelli,VZM31-SN,1st Floor Bathroom,,YES,,
light.1st_floor_bathroom_vanity_lights,,zha,Inovelli,VZM30-SN,1st Floor Bathroom,,YES,,
light.1st_floor_moderate_lighting,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.1st_floor_table_lamps,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.2nd_floor_ap_led,LED,unifi,Ubiquiti Networks,UAL6,Master Bedroom,,YES,,UniFi LED - probably disable
light.2nd_floor_bathroom,,hue,Signify Netherlands B.V.,Room,2nd Floor Bathroom,HUE_GROUP,YES,,Hue group - use individual bulbs
light.40062_hwy_53_ubb_led,LED,unifi,Ubiquiti Networks,UBB,Back Patio,,YES,,UniFi LED - probably disable
light.above_kitchen_sink_inovelli_switch,,zha,Inovelli,VZM30-SN,Kitchen,,YES,,
light.alaina_s_bedroom,Alaina's Bedside Lamp Hue Color Bulb,hue,Signify Netherlands B.V.,Room,Alaina's Bedroom,HUE_GROUP,YES,,Hue group - use individual bulbs
light.alaina_s_bedroom_echo_glow,Alaina's bedroom Echo Glow,alexa_media,,,,,MISSING,,Alexa virtual - probably disable
light.alaina_s_bedside_lamp,Alaina's Bedside Lamp,hue,Signify Netherlands B.V.,Hue color lamp,Alaina's Bedroom,,YES,,
light.alaina_s_ceiling_led_lights,Alaina's Ceiling LED Lights,group,,,,,MISSING,,
light.alaina_s_floor_govee_lamp,Kitchen Test Govee Lamp,matter,Shenzhen Qianyan Technology,H6076,Kitchen,,YES,,
light.alaina_s_led_light_strip_1,Alaina's LED Light Strip 1,tplink,TP-Link,KL400L5,Alaina's Bedroom,,YES,,
light.aqara_led_strip_t1,,matter,Aqara,Aqara LED Strip T1,Master Bedroom,,YES,,
light.aqara_led_strip_t1_2,,matter,Aqara,Aqara LED Strip T1,Kitchen,,YES,,
light.back_door_patio_light_inovelli_switch,,zha,Inovelli,VZM30-SN,Back Patio,,YES,,
light.back_patio,,hue,Signify Netherlands B.V.,Room,Back Patio,HUE_GROUP,YES,,Hue group - use individual bulbs
light.back_patio_steps_light,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.basement,,hue,Signify Netherlands B.V.,Room,Basement,HUE_GROUP,YES,,Hue group - use individual bulbs
light.ella_s_bedroom,,hue,Signify Netherlands B.V.,Room,Ella's Bedroom,HUE_GROUP,YES,,Hue group - use individual bulbs
light.ella_s_bedroom_echo_glow,Ella's Bedroom Echo Glow,alexa_media,,,,,MISSING,,Alexa virtual - probably disable
light.ella_s_bedside_lamp,Ella's Bedside Lamp,hue,Signify Netherlands B.V.,Hue color lamp,Ella's Bedroom,,YES,,
light.ella_s_ceiling_light_1_of_3,Ella's Ceiling Light (1 of 3),hue,Signify Netherlands B.V.,Hue color lamp,Ella's Bedroom,,YES,,
light.ella_s_ceiling_light_2_of_3,Ella's Ceiling Light (2 of 3),hue,Signify Netherlands B.V.,Hue color lamp,Ella's Bedroom,,YES,,
light.ella_s_ceiling_light_3_of_3,,hue,Signify Netherlands B.V.,Hue color lamp,Ella's Bedroom,,YES,,
light.ella_s_ceiling_lights,Ella's Ceiling Lights,group,,,,,MISSING,,
light.ella_s_govee_floor_lamp,Ella's Govee Floor Lamp,matter,Shenzhen Qianyan Technology,H6076,Master Bedroom,,YES,,
light.ella_s_led_lights,,tplink,TP-Link,KL400L10,Ella's Bedroom,,YES,,
light.ella_s_wall_light,Ella's Wall Light,hue,Signify Netherlands B.V.,Hue color lamp,Ella's Bedroom,,YES,,
light.ella_s_wall_light_bedside_lamp,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.entry_kitchen_all_lights,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.entry_rm_ceiling_hue_white_1_2,,hue,Signify Netherlands B.V.,Hue white lamp,,,MISSING,,NEEDS AREA
light.entry_rm_ceiling_hue_white_2_2,,hue,Signify Netherlands B.V.,Hue white lamp,,,MISSING,,NEEDS AREA
light.entry_room,,hue,Signify Netherlands B.V.,Room,Entry Room,HUE_GROUP,YES,,Hue group - use individual bulbs
light.entry_room_ceiling_hue_white_lights,Entry Room Ceiling Hue White Lights,group,,,Entry Room,,YES,,
light.entry_room_ceiling_light_inovelli_smart_dimmer_switch,,zha,Inovelli,VZM31-SN,Entry Room,,YES,,
light.entry_room_east_wall_nightlight,,zha,Third Reality; Inc,3RSNL02043Z,Entry Room,,YES,,
light.entry_room_hue_color_lamp,Entry Room Hue Color Lamp,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.entry_room_west_wall_nightlight,,zha,Third Reality; Inc,3RSNL02043Z,Entry Room,,YES,,
light.front_driveway,,hue,Signify Netherlands B.V.,Room,Front Driveway,HUE_GROUP,YES,,Hue group - use individual bulbs
light.garage,,hue,Signify Netherlands B.V.,Room,Garage,HUE_GROUP,YES,,Hue group - use individual bulbs
light.garage_ap_led,LED,unifi,Ubiquiti Networks,U7PG2,Garage,,YES,,UniFi LED - probably disable
light.garage_north_lift_master_garage_door_opener_east_light,Garage North Lift Master Garage Door Opener East Light,zha,Third Reality; Inc,3RCB01057Z,Garage,,YES,,
light.garage_north_lift_master_garage_door_opener_west_light,,zha,Third Reality; Inc,3RCB01057Z,Garage,,YES,,
light.garage_north_of_east_wall_motion_light_sensor,Garage North of East Wall Motion; Light;  Sensor,zha,Third Reality; Inc,3RSNL02043Z,Garage,,YES,,
light.garage_north_wall_nightlight,,zha,Third Reality; Inc,3RSNL02043Z,Garage,,YES,,
light.garage_south_of_east_wall_motion_light_sensor,Garage South of East Wall Motion; Light;  Sensor,zha,Third Reality; Inc,3RSNL02043Z,Garage,,YES,,
light.garage_south_wall_motion_light_sensor,Garage South Wall Motion; Light;  Sensor,zha,Third Reality; Inc,3RSNL02043Z,Garage,,YES,,
light.goetting_wifi_led,LED,unifi,Ubiquiti Networks,UAL6,,,MISSING,,
light.hot_tub,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.hue_color_candle_1,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.hue_color_candle_2,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.hue_color_candle_3,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.hue_color_candle_3_2,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.hue_color_candle_4,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.hue_color_candle_4_2,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.hue_color_candle_5,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.hue_color_downlight_1_2,,hue,Signify Netherlands B.V.,Hue color downlight,,,MISSING,,NEEDS AREA
light.hue_color_downlight_1_3,,hue,Signify Netherlands B.V.,Hue color downlight,,,MISSING,,NEEDS AREA
light.hue_color_lamp_10,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_11,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_12,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_1_3,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_1_4,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_1_5,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_2_3,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_2_4,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_3,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_4,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_5,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_6,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.hue_color_lamp_7,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.inovelli_vzm31_sn_3,,zha,Inovelli,VZM31-SN,Kitchen,,YES,,
light.inovelli_vzm31_sn_4,,zha,Inovelli,VZM31-SN,Kitchen,,YES,,
light.inovelli_vzm36_light_3,Light,zha,Inovelli,VZM36,Living Room,,YES,,
light.inovelli_vzm36_light_4,Light,zha,Inovelli,VZM36,Living Room,,YES,,
light.kitchen_above_sink_light,,hue,Signify Netherlands B.V.,Hue color downlight,,,MISSING,,NEEDS AREA
light.kitchen_above_table_chandelier_inovelli,,zha,Inovelli,VZM30-SN,Kitchen,,YES,,
light.kitchen_ceiling_inovelli_vzm31_sn,,zha,Inovelli,VZM31-SN,Kitchen,,YES,,
light.kitchen_chandelier,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.kitchen_chandelier_1of5,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.kitchen_chandelier_2of5,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.kitchen_chandelier_3of5,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.kitchen_chandelier_4of5,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.kitchen_chandelier_5of5,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.kitchen_counter_night_light,,zha,Third Reality; Inc,3RSNL02043Z,Stairway Cubby,,YES,,
light.kitchen_hue_color_floor_lamp,Kitchen Hue Color Floor Lamp,hue,Signify Netherlands B.V.,Room,Kitchen,HUE_GROUP,YES,,Hue group - use individual bulbs
light.kitchen_lounge,,hue,Signify Netherlands B.V.,Room,Kitchen Lounge,HUE_GROUP,YES,,Hue group - use individual bulbs
light.kitchen_lounge_ceiling_1of2,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.kitchen_lounge_ceiling_2of2,,hue,Signify Netherlands B.V.,Hue color candle,,,MISSING,,NEEDS AREA
light.kitchen_lounge_inovelli_smart_dimmer,,zha,Inovelli,VZM31-SN,Kitchen Lounge,,YES,,
light.kitchen_lounge_lamp,Kitchen Lounge Lamp,hue,Signify Netherlands B.V.,Hue color lamp,Kitchen,,YES,,
light.kitchen_lounge_light_fan_inovelli_vzm36_light,Light,zha,Inovelli,VZM36,Kitchen Lounge,,YES,,
light.kitchen_lounge_light_fan_inovelli_vzm36_light_2,Light,zha,Inovelli,VZM36,Kitchen Lounge,,YES,,
light.kitchen_west_wall_nightlight,,zha,Third Reality; Inc,3RSNL02043Z,Basement,,YES,,
light.living_rm_lounge_table_lamps,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.living_room,,hue,Signify Netherlands B.V.,Room,Living Room,HUE_GROUP,YES,,Hue group - use individual bulbs
light.living_room_east_floor_lamp,Living Room East Floor Lamp,hue,Signify Netherlands B.V.,Hue color lamp,Living Room,,YES,,
light.living_room_floor_lamps,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.living_room_lamp_1_of_2,Living Room Lamp (1 of 2),hue,Signify Netherlands B.V.,Hue color lamp,Living Room,,YES,,
light.living_room_lamp_2_of_2,Living Room Lamp (2 of 2),hue,Signify Netherlands B.V.,Hue color lamp,Living Room,,YES,,
light.living_room_lamp_hue_color_lights,Living Room Hue Color Lamps,group,,,Living Room,,YES,,
light.living_room_lounge,,hue,Signify Netherlands B.V.,Room,Sun Room,HUE_GROUP,YES,,Hue group - use individual bulbs
light.living_room_lounge_ceiling_1_of_3,Living Room Lounge Ceiling (1 of 3),hue,Signify Netherlands B.V.,Hue color lamp,Living Room Lounge,,YES,,
light.living_room_lounge_ceiling_hue_color_lights,Living Room Lounge Ceiling Hue Color Lights,group,,,Living Room Lounge,,YES,,
light.living_room_lounge_ceiling_light,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.living_room_lounge_ceiling_light_2_of_3,,hue,Signify Netherlands B.V.,Hue color lamp,Living Room Lounge,,YES,,
light.living_room_lounge_ceiling_light_3_of_3,Living Room Lounge Ceiling light (3 of 3),hue,Signify Netherlands B.V.,Hue color lamp,Living Room Lounge,,YES,,
light.living_room_lounge_lamp,Living Room Lounge Lamp,hue,Signify Netherlands B.V.,Hue color lamp,Living Room Lounge,,YES,,
light.living_room_north_wall_east_nightlight,,zha,Third Reality; Inc,3RSNL02043Z,Living Room,,YES,,
light.living_room_north_wall_west_nightlight,,zha,Third Reality; Inc,3RSNL02043Z,Living Room,,YES,,
light.living_room_table_lamps,,hue,Signify Netherlands B.V.,Zone,,HUE_GROUP,MISSING,,Hue group - use individual bulbs; NEEDS AREA
light.living_room_tv_smart_ligjt_strip,,tplink,TP-Link,KL400L5,Living Room,,YES,,
light.living_room_west_floor_lamp,,hue,Signify Netherlands B.V.,Hue color lamp,,,MISSING,,NEEDS AREA
light.master_bedroom,,hue,Signify Netherlands B.V.,Room,Master Bedroom,HUE_GROUP,YES,,Hue group - use individual bulbs
light.master_bedroom_echo_glow,Master Bedroom Echo Glow,alexa_media,,,,,MISSING,,Alexa virtual - probably disable
light.master_bedroom_led_light_strip,,tplink,TP-Link,KL400L5,,,MISSING,,
light.master_bedroom_wall_light,Master Bedroom Wall Light,hue,Signify Netherlands B.V.,Hue color lamp,Master Bedroom,,YES,,
light.p_f_p_ap_ac_pro_led,LED,unifi,Ubiquiti Networks,U7PG2,,,MISSING,,
light.p_f_p_ubb_led,LED,unifi,Ubiquiti Networks,UBB,Back Yard Tower,,YES,,UniFi LED - probably disable
light.ratgdo32disco_5735e8_light,Light,esphome,ratgdo,esphome,Garage,,YES,,
light.ratgdo32disco_fd8d8c_light,Light,esphome,ratgdo,esphome,Garage,,YES,,
light.south_east_lift,Garage South Lift Master Garage Door Opener East Light,zha,Third Reality; Inc,3RCB01057Z,Garage,,YES,,
light.south_west_garage_liftmaster,Garage South Lift Master Garage Door Opener West Light,zha,Third Reality; Inc,3RCB01057Z,Garage,,YES,,
light.tower_flex_led,LED,unifi,Ubiquiti Networks,USF5P,,,MISSING,,
light.toy_room_light,Kitchen Lamp,alexa_media,,,,,MISSING,,Alexa virtual - probably disable
light.upstairs_hallway,,hue,Signify Netherlands B.V.,Room,Upstairs Hallway,HUE_GROUP,YES,,Hue group - use individual bulbs
light.upstairs_hallway_east_wall_night_light,,zha,Third Reality; Inc,3RSNL02043Z,Upstairs Hallway,,YES,,
light.upstairs_hallway_night_light,,zha,Third Reality; Inc,3RSNL02043Z,Upstairs Hallway,,YES,,
light.usw_lite_8_poe_led,LED,unifi,Ubiquiti Networks,USL8LP,,,MISSING,,
light.very_front_door,,hue,Signify Netherlands B.V.,Room,Very Front Door,HUE_GROUP,YES,,Hue group - use individual bulbs
light.very_front_door_hallway,,hue,Signify Netherlands B.V.,Room,Very Front Door Hallway,HUE_GROUP,YES,,Hue group - use individual bulbs
